id,lat,lon,first_seen,last_seen,alert_count,source,est_area_m2,location,research_zone,ha,loss_inr,co2_tonnes
22.360_87.295,22.36,87.29476,2025-12-27T05:44:45.487176,2025-12-27T07:18:13.25351,4,MODIS,150000,ZONE_C_SOUTH,ZONE_B_EAST,15.0,870000.0,300.0
22.380_87.284,22.38,87.28358,2025-12-27T05:44:47.099049,2025-12-27T07:18:13.941866,4,MODIS,150000,ZONE_C_SOUTH,ZONE_B_EAST,15.0,870000.0,300.0
23.680_86.396,23.68,86.39628,2025-12-27T05:44:48.398803,2025-12-27T07:18:14.660111,4,MODIS,150000,ZONE_D_CENTRAL,ZONE_B_EAST,15.0,870000.0,300.0
23.690_87.126,23.69,87.12596,2025-12-27T05:44:49.727401,2025-12-27T07:18:15.367667,4,MODIS,150000,ZONE_D_CENTRAL,ZONE_B_EAST,15.0,870000.0,300.0
23.760_86.398,23.76,86.3982,2025-12-27T05:44:51.042986,2025-12-27T07:18:16.050098,4,MODIS,150000,ZONE_D_CENTRAL,ZONE_B_EAST,15.0,870000.0,300.0
23.780_86.391,23.78,86.39077,2025-12-27T05:44:52.301676,2025-12-27T07:18:16.744335,4,MODIS,150000,ZONE_D_CENTRAL,ZONE_B_EAST,15.0,870000.0,300.0
